Close,High,Low,Open,Volume
AAPL,AAPL,AAPL,AAPL,AAPL
178.8799591064453,179.73500786845727,174.65391842857707,174.77184998345479,104487900
176.60964965820312,179.79393593953884,176.0396222685355,179.4892694890775,99310400
171.9118194580078,177.0715328218442,171.63663594498001,176.5211657957886,94537600
169.0420684814453,172.285320469028,168.68825890104756,169.73002738877994,96904000
169.20913696289062,171.14525945761193,168.08874249862777,169.91675609783337,86709100
169.2288055419922,169.53347199078678,165.27793434356843,166.17228843262194,106765600
172.069091796875,172.1673630652104,167.88235785704865,169.35656184948618,76138300
172.51136779785156,174.13298635832638,171.81358623406135,173.09121782891782,74805200
169.2288055419922,173.5826144650006,168.835675449693,172.7570637657418,84505800
170.0936737060547,170.79145523828697,168.14771352583708,168.39341420548664,80440800
166.87989807128906,169.57276781693594,166.4966056259258,168.56048225619764,90956700
163.37132263183594,168.13792271767446,163.08631638791155,167.076493781146,94815000
161.68089294433594,166.7619819260812,161.35656620128222,164.10841720591074,91420500
159.6169891357422,163.46957389675498,159.50888023954428,161.59241715203612,122848900
158.840576171875,159.50888984216238,152.03958291935942,157.26810076459748,162294600
157.03221130371094,159.9609590965899,154.31968130054574,156.24596615896806,115798400
156.9437713623047,161.5629412237311,155.10593504422843,160.6882473882618,108275300
156.48187255859375,161.0224169726523,155.55803547083363,159.65632159719763,121954600
167.4008026123047,167.4204628672782,160.0002987329338,162.8602584781643,179935700
171.7742462158203,171.9904639988434,166.59487204384064,167.23370276509192,115541600
171.60720825195312,171.83324871111864,169.34675867115328,171.01752053648133,86213900
172.8160400390625,172.85536054887322,170.3492104199486,171.74478859061858,84914300
169.92657470703125,173.20914700397037,169.1599898283705,171.47940471663034,89418100
169.64122009277344,171.32396054369477,167.9584796418521,168.9425345214472,82465400
168.92286682128906,171.17634592324976,168.22418123926562,170.1037296917855,77251200
172.0423126220703,172.55402535255456,168.6965170956554,168.99173655614575,74829200
173.46914672851562,173.8332421319459,172.11114655174921,173.24281837088185,71285000
169.3755340576172,172.6819593071923,168.814630541294,171.3633292711471,90865900
165.95101928710938,170.32022548644153,165.360580335394,169.58218430454045,98670700
166.18719482421875,166.8760302449342,163.90418026929203,164.70126232865465,86185500
170.03480529785156,170.19225765383757,167.53531296237668,168.24383354883068,62527400
